Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
0,2019-01-01 00:00:18,2703186189652095,"Rippin, Kub and Mann",misc_net,4.97,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",1988-03-09,0b242abb623afc578575680df30655b9,1325376018,36.011293,-82.048315,0,28705
1,2019-01-01 00:00:44,630423337322,"Heller, Gutmann and Zieme",grocery_pos,107.23,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21,1f76529f8574734946361c461b024d99,1325376044,49.159047,-118.186462,0,
2,2019-01-01 00:00:51,38859492057661,Lind-Buckridge,entertainment,220.11,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,1962-01-19,a1a22d70485983eac12b5b88dad1cf95,1325376051,43.150704,-112.154481,0,83236
3,2019-01-01 00:01:16,3534093764340240,"Kutch, Hermiston and Farrell",gas_transport,45,Jeremy,White,M,9443 Cynthia Court Apt. 038,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,1967-01-12,6b849c168bdad6f867558c3793159a81,1325376076,47.034331,-112.561071,0,
4,2019-01-01 00:03:06,375534208663984,Keeling-Crist,misc_pos,41.96,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,1986-03-28,a41d7549acf90789359a9aa5346dcb46,1325376186,38.674999,-78.632459,0,22844
5,2019-01-01 00:04:08,4767265376804500,"Stroman, Hudson and Erdman",gas_transport,94.63,Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,1961-06-19,189a841a0a8ba03058526bcfe566aab5,1325376248,40.653382,-76.152667,0,17972
6,2019-01-01 00:04:42,30074693890476,Rowe-Vandervort,grocery_net,44.54,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,1993-08-16,83ec1cc84142af6e2acf10c44949e720,1325376282,37.162705,-100.15337,0,
7,2019-01-01 00:05:08,6011360759745864,Corwin-Collins,gas_transport,71.65,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",1947-08-21,6d294ed2cc447d2c71c7171a3d54967c,1325376308,38.948089,-78.540296,0,22644
8,2019-01-01 00:05:18,4922710831011201,Herzog Ltd,misc_pos,4.27,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1941-03-07,fc28024ce480f8ef21a32d64c93a29f5,1325376318,40.351813,-79.958146,0,15236
9,2019-01-01 00:06:01,2720830304681674,"Schoen, Kuphal and Nitzsche",grocery_pos,198.39,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,1974-03-28,3b9014ea8fb80bd65de0b1463b00b00e,1325376361,37.179198,-87.485381,0,42442
10,2019-01-01 00:06:23,4642894980163,Rutherford-Mertz,grocery_pos,24.74,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,d71c95ab6b7356dd74389d41df429c87,1325376383,40.275891,-96.011548,0,68348
11,2019-01-01 00:06:53,377234009633447,Kerluke-Abshire,shopping_net,7.77,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,1966-02-14,3c74776e558f1499a7824b556e474b1d,1325376413,40.103866,-78.624459,0,15554
12,2019-01-01 00:06:56,180042946491150,Lockman Ltd,grocery_pos,71.22,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",1989-02-28,c1d9a7ddb1e34639fe82758de97f4abf,1325376416,27.630593,-82.308891,0,33598
13,2019-01-01 00:07:27,5559857416065248,Kiehn Inc,grocery_pos,96.29,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1945-12-21,413636e759663f264aae1819a4d4f231,1325376447,41.65752,-122.230347,0,
14,2019-01-01 00:09:03,3514865930894695,Beier-Hyatt,shopping_pos,7.77,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,1967-08-30,8a6293af5ed278dea14448ded2685fea,1325376543,32.863258,-106.520205,0,
15,2019-01-01 00:09:20,6011999606625827,Schmidt and Sons,shopping_net,3.26,Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",1965-06-30,baae0b096835c975857eea7e28dde3dc,1325376560,41.831174,-74.335559,0,12446
16,2019-01-01 00:10:49,6011860238257910,Lebsack and Sons,misc_net,327,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,991c04803b4d4eeab30d6245a872e3d3,1325376649,36.384092,-99.048472,0,73852
17,2019-01-01 00:10:58,3565423334076143,Mayert Group,shopping_pos,341.67,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,1938-03-15,f12cf52be2175703db789a4644c32f25,1325376658,38.674491,-88.305767,0,62824
18,2019-01-01 00:11:14,2348245054386329,"Konopelski, Schneider and Hartmann",food_dining,63.07,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,1946-02-02,8500f3d459047eac8443307b1e8296e5,1325376674,41.430274,-79.492553,0,16364
19,2019-01-01 00:12:34,4.95682899000511E+018,"Schultz, Simonis and Little",grocery_pos,44.71,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,09eff9c806365e2a6be12c1bbab3d70e,1325376754,40.079588,-74.848087,0,8016
20,2019-01-01 00:13:08,4.46977711515824E+018,Bauch-Raynor,grocery_pos,57.34,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1980-11-22,139a1bee15be607d79fe173bfcb2502a,1325376788,42.26876,-71.217297,0,2492
21,2019-01-01 00:14:37,2305336922781618,Harris Inc,gas_transport,50.79,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,b9c4615bec3561c8e83b0c1d6c7028e2,1325376877,40.18893,-91.955115,0,63446
22,2019-01-01 00:17:16,180048185037117,Kling-Grant,grocery_net,46.28,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,19e23c6a300c774354417befe4f31f8c,1325377036,40.021888,-74.228188,0,8755
23,2019-01-01 00:17:40,630441765090,Pacocha-Bauch,shopping_pos,9.55,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,1965-07-26,c4b4daebab8be54cadde4b941244ca53,1325377060,31.62635,-98.610225,0,76870
24,2019-01-01 00:18:06,4.42878098379366E+018,Lesch Ltd,shopping_pos,22.95,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",1946-01-02,d2432bfeabf142dc1bae1d426e32aecc,1325377086,43.375041,-89.055065,0,53932
25,2019-01-01 00:18:07,343464013864032,Kunde-Sanford,misc_net,2.55,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,1962-08-13,abe0676c18f34fa305b113fa762e29b5,1325377087,36.74987,-78.67787,0,23964
26,2019-01-01 00:20:15,374930071163758,Deckow-O'Conner,grocery_pos,64.09,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,1971-11-05,6f363661ba6b55889e488dd178f2a0af,1325377215,42.360426,-83.552316,0,48168
27,2019-01-01 00:21:32,4334230547694630,Bruen-Yost,misc_pos,6.85,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1967-08-02,f3c43d336e92a44fc2fb67058d5949e3,1325377292,43.753735,-111.454923,0,83436
28,2019-01-01 00:22:06,4.22599011648126E+018,Kunze Inc,grocery_pos,90.22,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,1966-12-03,95826e3caa9e0b905294c6dae985aec1,1325377326,19.560013,-156.045889,0,96740
29,2019-01-01 00:22:18,4260059589824237,"Nitzsche, Kessler and Wolff",shopping_pos,4.02,Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,1945-03-15,20490f3f0966ce74b4aaba8dc2c4ed52,1325377338,42.47559,-101.265846,0,
30,2019-01-01 00:22:36,180094608895855,"Kihn, Abernathy and Douglas",shopping_net,3.66,Tammie,Harper,F,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,1961-05-19,870c92b288a974a2faf1f24b05c27e33,1325377356,44.278191,-121.815161,0,
31,2019-01-01 00:22:39,4.59973540787725E+018,"Heller, Gutmann and Zieme",grocery_pos,82.8,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,1964-12-30,cb598ec00d349dc95e7b3c18de5ae800,1325377359,36.294205,-89.811282,0,63879
32,2019-01-01 00:22:44,630412733309,Torphy-Goyette,shopping_pos,66.21,Heather,Stanton,F,445 Jerry Lights Apt. 081,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,1964-04-22,20f048d3907dbb9978e23bee7b7578ce,1325377364,46.412038,-88.516663,0,49919
33,2019-01-01 00:23:41,2712209726293386,Balistreri-Nader,misc_pos,25.58,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1977-02-22,1654da2abfb9e79a5f99167fc9779558,1325377421,29.737426,-90.853194,0,70395
34,2019-01-01 00:23:58,374125201044065,"Bahringer, Schoen and Corkery",shopping_pos,9.03,Christopher,Gilbert,M,20937 Reed Lakes Apt. 271,Washington,DC,20012,38.9757,-77.0282,601723,"Optician, dispensing",1970-07-20,c733711c521c41c578f4a964d8350df0,1325377438,38.880898,-76.441116,0,21037
35,2019-01-01 00:25:46,349612764943496,Hudson-Ratke,grocery_pos,99,Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",1984-06-04,7e2f9596cb3a3595ece15611ee338e5c,1325377546,36.823545,-83.90104,0,40906
36,2019-01-01 00:26:22,3598215285024754,Heidenreich PLC,grocery_pos,207.36,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",1970-10-21,f246ac27c09429ff1e385d4683c79c4d,1325377582,40.202538,-73.859212,0,7720
37,2019-01-01 00:27:45,213141712584544,Halvorson Group,misc_pos,181.35,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,1984-12-24,7bb25a43205191eb7344282b88fc54d3,1325377665,31.939812,-90.726209,0,39086
38,2019-01-01 00:27:56,30561214688470,Harber Inc,gas_transport,82.22,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",1998-10-01,61bcb858dd5c8e2d0d46d02b4fa0bf8e,1325377676,40.586238,-75.802249,0,19529
39,2019-01-01 00:29:11,4789911625179723,"Mosciski, Gislason and Mertz",grocery_pos,221.81,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27,a8394c3e555166ce2f90eee628bd9ade,1325377751,40.011959,-72.594808,0,
40,2019-01-01 00:30:49,676372984911,"Christiansen, Goyette and Schamberger",gas_transport,53.6,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,f1566e9623814dd277dfa2a9bf83ea36,1325377849,40.332519,-99.062962,0,68947
41,2019-01-01 00:31:01,30011465039817,Howe Ltd,misc_pos,54.02,Lisa,Garcia,F,213 Gill Expressway,Chatham,NY,12037,42.3496,-73.5873,4015,Human resources officer,1971-10-14,8d11abad6bc3501f9994f061e3a5b730,1325377861,42.041783,-73.076424,0,6021
42,2019-01-01 00:31:51,4642255475285942,Ledner-Pfannerstill,gas_transport,102.13,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,47238da5b40d126c8abea40a857c7809,1325377911,39.807313,-109.348294,0,
43,2019-01-01 00:32:15,30074693890476,Lockman Ltd,grocery_pos,212.75,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,1993-08-16,d9dcde500bed2cad48ee41e44c362596,1325377935,38.862183,-101.234087,0,
44,2019-01-01 00:32:15,180067784565096,Koepp-Witting,grocery_pos,130.4,Mary,Juarez,F,35440 Ryan Islands,North Prairie,WI,53153,42.9385,-88.395,2328,Applications developer,1942-01-06,14a6e29ac65424550ea7e7c9f551dbb8,1325377935,42.236269,-88.397336,0,60014
45,2019-01-01 00:32:47,213126662687660,Doyle Ltd,grocery_pos,91.16,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971-01-28,685bcca9eb5ce554134d7242d564ecc9,1325377967,27.588953,-99.816911,0,
46,2019-01-01 00:33:51,2266735643685262,"Schaefer, Maggio and Daugherty",gas_transport,55.78,Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,1972-07-25,392529cae1f1f1647093732a8f319c50,1325378031,35.255978,-86.041872,0,37324
47,2019-01-01 00:34:10,3553629419254918,Stracke-Lemke,grocery_pos,83.07,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1984-09-01,9b7a0619dcc5c572dc134f2827ed5a6b,1325378050,48.682111,-122.719904,0,98262
48,2019-01-01 00:36:12,3511058278399773,"Mosciski, Ziemann and Farrell",shopping_net,4.38,Briana,Santos,F,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",1960-01-06,f1e1ad954f49955c37b45eb71b2d1642,1325378172,39.681736,-88.323862,0,61910
49,2019-01-01 00:36:58,4.11026655360018E+018,Cartwright-Harris,grocery_pos,130.89,Sandra,Schwartz,F,3789 Mark Walks,Sunflower,MS,38778,33.5567,-90.5451,1686,"Education officer, community",1986-11-06,e02fd7d82af517718f83a3f05077d435,1325378218,33.595647,-90.234118,0,38930
50,2019-01-01 00:37:18,4265776278887457,Pacocha-O'Reilly,grocery_pos,103,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,289789e617eece42a9cafe36680b1b69,1325378238,35.034285,-92.34301,0,72032
51,2019-01-01 00:39:22,3583793405872580,Pfeffer LLC,grocery_net,50.82,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,1970-09-27,64a6d4be2510d764cbd869cd2a57a4fd,1325378362,34.852665,-98.90267,0,73564
52,2019-01-01 00:39:37,213193596103206,Huels-Hahn,gas_transport,60.77,James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,1994-02-09,211c26efcb0ed5e87d4700daee23e070,1325378377,45.323099,-85.116543,0,49720
53,2019-01-01 00:39:43,60495593109,Volkman PLC,food_dining,122.86,Randall,Dillon,M,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1942-11-24,7d68e49b63d845b808108fcd41c15877,1325378383,32.282224,-97.46183,0,76033
54,2019-01-01 00:40:44,4.7258371762652E+018,Kiehn-Emmerich,grocery_pos,212.45,Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,1994-11-05,88fde595524ba43924f36bd397b86413,1325378444,31.414174,-87.138632,0,36475
55,2019-01-01 00:40:48,30404291151692,Kemmer-Buckridge,misc_pos,7.33,Savannah,Lewis,F,537 Walker Freeway,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,1993-10-25,01620e8ae84989a6f95581855e49da99,1325378448,43.1763,-77.901777,0,14420
56,2019-01-01 00:40:50,213178850083780,Cummerata-Jones,gas_transport,70.53,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,1976-10-18,7b91bd200c11c5cd24b43694e12b5bbc,1325378450,46.043252,-117.962133,0,
57,2019-01-01 00:40:58,2356276337669917,"Goldner, Kovacek and Abbott",grocery_pos,58.26,Benjamin,Harris,M,0881 Lori Pines,Chester,MD,21619,38.9583,-76.2842,5848,Paediatric nurse,1981-02-15,d94f89d7360cd6bade6cf1b73d003e8f,1325378458,39.240962,-76.712732,0,21227
58,2019-01-01 00:41:43,3568736585751727,Spinka-Welch,grocery_net,50.45,Thomas,Cross,M,7566 Thompson Creek Apt. 827,Elkhart,IA,50073,41.8114,-93.4855,1195,Trading standards officer,1974-03-13,16e0d3920a0e896a70fa54e7162165c0,1325378503,41.776673,-93.350689,0,50168
59,2019-01-01 00:41:45,4642255475285942,Huel-Langworth,misc_net,177.57,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,048dc7fc7ae8efd51f59f7176e6a8bd7,1325378505,38.419431,-109.380252,0,
60,2019-01-01 00:42:26,4509142395811241,Macejkovic-Lesch,shopping_pos,8.57,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",1926-07-12,70ed1a189a6bce479e564b120f2379d9,1325378546,32.023302,-82.58345,0,30473
61,2019-01-01 00:43:38,3547560454237873,Corwin-Collins,gas_transport,56.66,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",1966-12-21,144d8b04f90eb30e8df105a091212d99,1325378618,44.00529,-86.25199,0,49454
62,2019-01-01 00:44:20,4433091568498503,Morar Inc,grocery_net,75.34,Linda,Davis,F,493 Todd Views,Gaithersburg,MD,20882,39.2335,-77.1458,135332,Clinical biochemist,1936-03-28,d6b7e57ba04fbb046f93a87301e493cb,1325378660,38.817293,-77.833468,0,20115
63,2019-01-01 00:44:43,2720433095629877,"Eichmann, Bogan and Rodriguez",gas_transport,62.54,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,2eb55ba0572d67a64baaa8c463878d8c,1325378683,43.585423,-70.449359,0,4072
64,2019-01-01 00:45:13,4716561796955522,"Huel, Hammes and Witting",grocery_pos,92.84,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,985ebf94aa7a3beeb927d07f77f0354c,1325378713,49.080153,-113.53238,0,
65,2019-01-01 00:46:18,3536918668124647,"Ferry, Lynch and Kautzer",misc_net,2.76,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,1955-06-12,70ca7fe41f09770d724a027152dcb9f0,1325378778,37.548452,-121.536454,0,95377
66,2019-01-01 00:47:55,3525668150756629,Heathcote LLC,shopping_net,101.35,Christopher,Choi,M,04611 Sandra Spring Suite 059,Rumely,MI,49826,46.3481,-87.0436,137,Film/video editor,1990-08-13,dab9571cce549056d3c6fedc525ccf23,1325378875,46.796891,-86.331091,0,
67,2019-01-01 00:48:09,4707867759656333,Huel-Langworth,misc_net,303.47,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",1967-02-04,cdb332a151bdd568d98837b9e19043b8,1325378889,36.394203,-82.514283,0,37615
68,2019-01-01 00:49:25,4.66631452782088E+018,"Little, Gutmann and Lynch",shopping_net,83.52,Guy,Thompson,M,5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202,"Solicitor, Scotland",1974-06-21,5f7aafc802c8acb5924041bca310040f,1325378965,40.992141,-98.831582,0,68869
69,2019-01-01 00:49:31,2248735346244816,Torphy-Goyette,shopping_pos,9.97,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,1962-11-11,22be5ae91a9497c54279abdb4b25210d,1325378971,38.075226,-99.138453,0,67529
70,2019-01-01 00:50:53,4.5128284149838E+018,Jaskolski-Dibbert,grocery_net,16.16,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,514a1b5251ca91aeab8994cf6253f04b,1325379053,39.222743,-78.839099,0,26852
71,2019-01-01 00:52:57,3501509250702469,Hackett-Lueilwitz,grocery_pos,59.56,Frank,Anderson,M,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1979-01-02,e922037de4ac8a6bec29be758e4ce195,1325379177,25.801181,-82.351291,0,
72,2019-01-01 00:55:05,30273037698427,Cummings LLC,gas_transport,57.23,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000-06-13,044fca5318d0550ed661b507b216f83c,1325379305,36.144895,-92.188172,0,72519
73,2019-01-01 00:56:12,3558881852140592,"Swaniawski, Lowe and Robel",shopping_pos,317.14,Christopher,Holt,M,05597 Michael Spurs,Parks,AZ,86018,35.2563,-111.95,759,"Geologist, engineering",1957-03-28,3fe3286b0ea3f8c8857ec2e3da17b853,1325379372,35.268124,-112.682895,0,
74,2019-01-01 00:56:44,30487648872433,"Osinski, Ledner and Leuschke",grocery_pos,127.88,Stephanie,Crane,F,144 Martinez Curve,Central,IN,47110,38.097,-86.1723,350,Counsellor,1955-01-05,02384110799958e20345759c49a8910b,1325379404,38.860981,-86.773396,0,47453
75,2019-01-01 00:56:59,571465035400,"Reichert, Huels and Hoppe",shopping_net,113.4,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,9d660a18154a3ba5fe869f373c6f819c,1325379419,42.868965,-108.50335,0,82510
76,2019-01-01 00:57:17,378006354724784,Ankunding LLC,shopping_net,94.53,Christopher,Matthews,M,433 John Heights Apt. 849,Etlan,VA,22719,38.5095,-78.2638,395,Senior tax professional/tax inspector,1982-01-07,d513918bedeff433054b9384483bd79c,1325379437,37.84676,-79.262334,0,24435
77,2019-01-01 00:57:30,341283058448499,Pfeffer and Sons,shopping_pos,1.82,Mario,Johns,M,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1935-09-08,35dd52e536ac27feca9d33ad8426f579,1325379450,31.973466,-84.244731,0,31787
78,2019-01-01 00:58:02,4481131401752,"Greenholt, Jacobi and Gleason",gas_transport,75.77,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,1975-04-30,1240cd77c20744f96aa5e6a5cf9b1fcf,1325379482,42.889256,-71.888107,0,3458
79,2019-01-01 00:58:53,4687263141103,Kunze Inc,grocery_pos,108.59,Sarah,Cross,F,273 Phillip Throughway,Bigelow,MN,56117,43.5336,-95.6515,399,Economist,1977-04-28,c7398ef8cebfefee82e590d473cf538b,1325379533,44.51103,-95.934394,0,56239
80,2019-01-01 00:59:25,5456776410929288,Harris Inc,gas_transport,48.68,Taylor,Khan,F,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1954-05-25,673b35c970ef05a2acceb2af42f919d7,1325379565,40.237898,-79.894073,0,15037
81,2019-01-01 01:00:19,4981132848794,"Connelly, Reichert and Fritsch",gas_transport,72.35,Joseph,Spencer,M,7854 Stephanie Island Suite 788,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,1946-04-03,cfe0948d7b26c9fef58e59a9bf41d3e5,1325379619,39.308098,-81.698525,0,45742
82,2019-01-01 01:00:48,6011893664860915,Howe Ltd,misc_pos,218.71,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,43204045928cb3449edc63078a75b48c,1325379648,39.335171,-104.102882,0,
83,2019-01-01 01:01:48,6534628260579800,Torp-Labadie,gas_transport,52.59,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1998-03-19,2686067ebeee0aa355a750faf309384e,1325379708,45.084808,-73.626071,0,12958
84,2019-01-01 01:02:16,376028110684021,Wolf Inc,grocery_pos,89.11,Aaron,Murray,M,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23,1cb03ad950bab1ca74b02500644ec1ba,1325379736,40.773306,-92.821257,0,52544
85,2019-01-01 01:02:53,571365235126,VonRueden Group,grocery_net,89.35,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,bce01a6ae8b8c6227cd4f1de751c017c,1325379773,44.630758,-87.123894,0,
86,2019-01-01 01:04:48,3518758680062249,Vandervort-Funk,grocery_pos,50.68,Antonio,Koch,M,8738 Richard Brooks,Moab,UT,84532,38.5677,-109.5271,9772,Location manager,1989-11-24,61861370b5c31b9c00fd949124944d7a,1325379888,38.482541,-108.853856,0,
87,2019-01-01 01:06:06,5456776410929288,Bernhard Inc,gas_transport,64.47,Taylor,Khan,F,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139,Patent attorney,1954-05-25,93953aab1a46beb5d65c8ab368a3f860,1325379966,40.068764,-79.826882,0,15438
88,2019-01-01 01:06:22,3577578023716568,"Morissette, Weber and Wiegand",grocery_net,63.58,Debbie,Hughes,F,0182 Owens Burgs Suite 480,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",1983-08-25,0189da32192f942196b01f50bcebeac8,1325379982,41.8136,-81.23077,0,44081
89,2019-01-01 01:08:31,213112402583773,Brekke and Sons,gas_transport,81.85,Ana,Howell,F,4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523,Research scientist (physical sciences),1984-06-03,4e2abdbd30c0353eeddf16650e1fc46b,1325380111,33.828473,-81.642924,0,29129
90,2019-01-01 01:09:22,3592325941359225,Mraz-Herzog,gas_transport,59.7,Ashley,Robinson,F,1007 Colton Forks,Hopewell,VA,23860,37.2876,-77.295,31970,Purchasing manager,1935-08-15,9431e17d0ed2ec210587c4085d4c6887,1325380162,36.962777,-77.640054,0,23840
