merchant,category,amt,trans_date_trans_time,first,last
Web Hosting,misc_net,4.97,2019-01-01 00:00:18,Jennifer,Banks
Trader Joes,grocery_pos,107.23,2019-01-01 00:00:44,Stephanie,Gill
AMC Movie Theater,entertainment,220.11,2019-01-01 00:00:51,Edward,Sanchez
Uber Ride,gas_transport,45.0,2019-01-01 00:01:16,Jeremy,White
Health Insurance,misc_pos,41.96,2019-01-01 00:03:06,Tyler,Garcia
Speedway Gas,gas_transport,94.63,2019-01-01 00:04:08,Jennifer,Conner
Shipt Grocery,grocery_net,44.54,2019-01-01 00:04:42,Kelsey,Richards
Uber Ride,gas_transport,71.65,2019-01-01 00:05:08,Steven,Williams
Car Loan Payment,misc_pos,4.27,2019-01-01 00:05:18,Heather,Chase
Target Grocery,grocery_pos,198.39,2019-01-01 00:06:01,Melissa,Aguilar
Food 4 Less,grocery_pos,24.74,2019-01-01 00:06:23,Eddie,Mendez
Best Buy Online,shopping_net,7.77,2019-01-01 00:06:53,Theresa,Blackwell
Whole Foods Market,grocery_pos,71.22,2019-01-01 00:06:56,Charles,Robles
Whole Foods Market,grocery_pos,96.29,2019-01-01 00:07:27,Jack,Hill
Clothing Store,shopping_pos,7.77,2019-01-01 00:09:03,Christopher,Castaneda
Target Online,shopping_net,3.26,2019-01-01 00:09:20,Ronald,Carson
Web Hosting,misc_net,327.0,2019-01-01 00:10:49,Lisa,Mendez
H&M Fashion,shopping_pos,341.67,2019-01-01 00:10:58,Nathan,Thomas
Ice Cream Shop,food_dining,63.07,2019-01-01 00:11:14,Justin,Gay
Costco Wholesale,grocery_pos,44.71,2019-01-01 00:12:34,Kenneth,Robinson
Wegmans Food,grocery_pos,57.34,2019-01-01 00:13:08,Gregory,Graham
Airport Parking,gas_transport,50.79,2019-01-01 00:14:37,Jeffrey,Rice
FreshDirect Online,grocery_net,46.28,2019-01-01 00:17:16,Mary,Wall
Walmart Shopping,shopping_pos,9.55,2019-01-01 00:17:40,Susan,Washington
Zara Clothing,shopping_pos,22.95,2019-01-01 00:18:06,Richard,Waters
Online Service Fee,misc_net,2.55,2019-01-01 00:18:07,Jodi,Foster
Sams Club,grocery_pos,64.09,2019-01-01 00:20:15,Daniel,Escobar
Loan Payment,misc_pos,6.85,2019-01-01 00:21:32,Scott,Martin
Stop Shop Grocery,grocery_pos,90.22,2019-01-01 00:22:06,Brian,Simpson
Fashion Retail,shopping_pos,4.02,2019-01-01 00:22:18,Aaron,Rogers
Overstock Online,shopping_net,3.66,2019-01-01 00:22:36,Tammie,Harper
IGA Grocery,grocery_pos,82.8,2019-01-01 00:22:39,Mary,Myers
Clothing Store,shopping_pos,66.21,2019-01-01 00:22:44,Heather,Stanton
Health Insurance,misc_pos,25.58,2019-01-01 00:23:41,Jenna,Brooks
Forever 21,shopping_pos,9.03,2019-01-01 00:23:58,Christopher,Gilbert
Supermarket Shopping,grocery_pos,99.0,2019-01-01 00:25:46,Xavier,Beltran
Trader Joes,grocery_pos,207.36,2019-01-01 00:26:22,Ashley,Lopez
Insurance Premium,misc_pos,181.35,2019-01-01 00:27:45,Margaret,Curtis
Train Fare,gas_transport,82.22,2019-01-01 00:27:56,Gina,Morrison
Publix Supermarket,grocery_pos,221.81,2019-01-01 00:29:11,Dorothy,Zuniga
Toll Road,gas_transport,53.6,2019-01-01 00:30:49,Vicki,Mendoza
Circle K,misc_pos,54.02,2019-01-01 00:31:01,Lisa,Garcia
Uber Ride,gas_transport,102.13,2019-01-01 00:31:51,Sabrina,Johnson
